品类,标准合同一级科目,标准合同二级科目,标准合同名称,标准合同编号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,地基处理与边坡支护工程费,钢筋混凝土支撑分包合同,BZFJ-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,地基处理与边坡支护工程费,钻孔灌注桩（围护桩）施工分包合同,BZFJ-097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,基坑降水工程费,降水工程分包合同,BZFJ-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,外装修工程费,外墙涂料施工分包合同,BZFJ-073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,外装修工程费,外墙贴砖分包合同,BZFJ-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,外装修工程费,屋面瓦施工分包合同,BZFJ-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,外装修工程费,幕墙分包合同,BZFJ-074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,工程保障服务费,竣工收尾分包合同,BZFJ-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,建筑地坪工程费,地坪施工分包合同,BZFJ-063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,总平土建工程费,VI视觉识别系统分包合同,BZFJ-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,总平土建工程费,体育设施供货及安装合同,BZYL-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,总平土建工程费,古建筑施工分包合同,BZFJ-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,总平土建工程费,园路工程分包合同,BZYL-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,总平土建工程费,景观工程分包合同,BZYL-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,总平土建工程费,正式道路工程分包合同,BZYL-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,总平土建工程费,绿化养护服务合同,BZYL-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,总平土建工程费,绿化工程分包合同,BZYL-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,拆改加固工程费,加固改造工程分包合同,BZFJ-029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,拆改加固工程费,拆除工程分包合同,BZFJ-092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,桩基础工程费,抗浮锚杆施工分包合同,BZFJ-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,桩基础工程费,钻孔灌注桩（正式桩）分包合同,BZFJ-015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,桩基础工程费,预制混凝土桩施工分包合同,BZFJ-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,洁净工程费,洁净工程分包合同,BZFJ-167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,精装修工程费,墙柱面与隔断施工分包合同,BZFJ-037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,精装修工程费,天棚工程施工分包合同,BZFJ-033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,精装修工程费,楼地面施工分包合同,BZFJ-018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,精装修工程费,精装修分包合同,BZFJ-069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属结构工程费,压型钢板施工分包合同,BZFJ-042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属结构工程费,膜结构分包合同,BZFJ-164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属结构工程费,钢爬梯供货及安装合同,BZFJ-045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属结构工程费,钢结构专用吊车租赁及服务合同,BZKB-095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属结构工程费,钢结构墙板供货及安装合同,BZFJ-038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属结构工程费,钢结构工程分包合同,BZFJ-036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属结构工程费,钢结构防火涂料施工分包合同,BZFJ-039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属装饰工程费,变形缝施工分包合同,BZFJ-146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属装饰工程费,栏杆扶手供货及安装合同,BZFJ-066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属装饰工程费,百叶门窗供货及安装合同,BZFJ-078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,金属装饰工程费,钢结构加工制作分包合同,BZFJ-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,门窗工程费,塑钢门窗供货及安装合同,BZFJ-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,门窗工程费,木质门窗供货及安装合同,BZFJ-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,门窗工程费,泄爆及抗爆系统分包合同,BZFJ-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,门窗工程费,特种门窗供货及安装合同,BZFJ-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,门窗工程费,金属门窗供货及安装合同,BZFJ-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,门窗工程费,防火门窗供货及安装合同,BZFJ-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,防水防腐工程费,疏水层施工分包合同,BZFJ-166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,防水防腐工程费,防水堵漏分包合同,BZFJ-177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,防水防腐工程费,防水工程分包合同,BZFJ-032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建分包工程费,防水防腐工程费,防腐工程分包合同,BZFJ-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,商品混凝土采购费,沥青混凝土采购合同,BZFJ-155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,油漆涂料类材料采购费,路面标识涂料采购合同,BZFJ-156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,金属类材料采购费,栏杆扶手材料采购合同,BZFJ-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,金属类材料采购费,百叶门窗材料采购合同,BZFJ-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,钢结构构件采购费,钢结构成品采购合同,BZFJ-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,钢结构构件采购费,零星钢构件采购合同,BZFJ-017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,门窗材料采购费,塑钢门窗材料采购合同,BZFJ-056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,门窗材料采购费,木质门窗材料采购合同,BZFJ-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,土建材料采购费,门窗材料采购费,金属门窗材料采购合同,BZFJ-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,主体结构工程费,保修合同,BZJCSS-245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,主体结构工程费,外脚手架租赁搭拆分包合同,BZJCSS-042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,主体结构工程费,应急抢险工程分包合同,BZJCSS-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,主体结构工程费,活动板房采购及安装合同,BZJCSS-242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,主体结构工程费,竣工收尾分包合同,BZJCSS-244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,主体结构工程费,综合接地分包合同,BZJCSS-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,主体结构工程费,预制构件安装分包合同,BZJCSS-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,二次结构及粗装修工程费,安石粉供货及施工合同,BZJCSS-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,二次结构及粗装修工程费,粗装修分包合同,BZJCSS-041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,二次结构及粗装修工程费,轻质隔墙分包合同,BZJCSS-039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,二次结构及粗装修工程费,轻集料混凝土分包合同,BZJCSS-214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,交通工程费,交安工程分包合同,BZJCSS-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,交通工程费,交通导改工程分包合同,BZJCSS-060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,交通工程费,交通疏解工程分包合同,BZJCSS-061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,人防工程费,人防设备分包合同,BZJCSS-037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,保温节能工程费,保温施工分包合同,BZJCSS-050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,保温节能工程费,无机纤维喷涂施工分包合同,BZJCSS-048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,保温节能工程费,泡沫混凝土施工分包合同,BZJCSS-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,创优工程费,创优工程合同,BZKB-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,园林景观工程费,回填土（种植土）工程分包合同,BZJCSS-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,园林景观工程费,园林景观工程分包合同,BZJCSS-053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,园林景观工程费,园路、桥假山工程分包合同,BZJCSS-056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,园林景观工程费,栽植花木分包合同,BZJCSS-052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,园林景观工程费,绿地喷灌分包合同,BZJCSS-055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,土石方工程费,回填土工程分包合同,BZJCSS-084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,土石方工程费,土石方工程分包合同,BZJCSS-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,土石方工程费,场地清理分包合同,BZJCSS-089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,土石方工程费,采空区工程分包合同,BZJCSS-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,地基处理工程费,CFG桩分包合同,BZJCSS-081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,地基处理工程费,地基压密注浆分包合同,BZJCSS-092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,地基处理工程费,搅拌桩分包合同,BZJCSS-091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,地基处理工程费,旋喷桩分包合同,BZJCSS-080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,地基处理工程费,碎石桩分包合同,BZJCSS-057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
