品类,标准合同一级科目,标准合同二级科目,标准合同名称,标准合同编号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构洞门加固施工费,袖阀管施工分包合同,BZJCSS-063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构风险源加固施工费,钢管隔离桩分包合同,BZJCSS-065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构风险源加固施工费,预留孔注浆分包合同,BZJCSS-066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,管线迁改施工费,管线切改分包合同（电力、燃气、给水、通信、排水、电力、热力等）,BZJCSS-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,管网工程费,给水、排水、污水、消防水工程分包合同,BZJCSS-059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,管网工程费,通风空调分包合同,BZJCSS-079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,管网工程费,顶管分包合同,BZJCSS-097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,精装修工程费,墙柱面装饰与隔断工程分包合同,BZJCSS-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,精装修工程费,天棚工程分包合同,BZJCSS-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,精装修工程费,楼地面装饰工程分包合同,BZJCSS-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,精装修工程费,精装修分包合同,BZJCSS-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,精装修工程费,门窗工程分包合同,BZJCSS-193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,试验费（公路）,中心试验室分包合同,BZKB-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,路灯工程费,照明工程分包合同,BZJCSS-051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,道路工程费,人行道施工分包合同,BZJCSS-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,道路工程费,路基工程分包合同,BZJCSS-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,道路工程费,路面基层、底基层工程合同,BZJCSS-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,道路工程费,路面工程分包合同,BZJCSS-026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,道路工程费,重夯、强夯工程分包合同,BZJCSS-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属结构工程费,压型钢板安装分包合同,BZJCSS-043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属结构工程费,钢爬梯加工制造运输安装合同,BZJCSS-044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属结构工程费,钢结构加工制作分包合同,BZJCSS-017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属结构工程费,钢结构加工制作安装分包合同,BZJCSS-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属结构工程费,钢结构安装分包合同,BZJCSS-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属结构工程费,钢结构涂料分包合同,BZJCSS-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属装饰工程费,栏杆扶手供货安装合同,BZJCSS-047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属装饰工程费,栏杆类供货安装合同,BZJCSS-046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,金属装饰工程费,铝合金百叶供货安装合同,BZJCSS-045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,钢筋加工工程费,钢筋加工及安装分包合同,BZJCSS-078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,钢筋加工工程费,预应力分包合同,BZJCSS-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,防水工程费,刚性防水分包合同,BZJCSS-067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,防水工程费,卷材类防水分包合同,BZJCSS-036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,防水工程费,涂膜类防水分包合同,BZJCSS-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,防水工程费,防水堵漏分包合同,BZJCSS-246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,防水工程费,防腐工程分包合同,BZJCSS-243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,隧道工程费,拖拉管分包合同,BZJCSS-071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,隧道工程费,暗挖工程分包合同,BZJCSS-098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,人防工程费,人防工程分包合同,BZAZ-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,保温工程费,空调水保温工程分包合同,BZAZ-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,保温工程费,给排水保温工程分包合同,BZAZ-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,保温工程费,通风保温工程分包合同,BZAZ-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,分体空调工程费,分体空调、VRV供应及安装分包合同,BZAZ-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,创优工程费,创优工程合同,BZKB-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,医疗气体工程费,医疗气体工程分包合同,BZAZ-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,医疗管道工程费,医疗管道分包合同,BZAZ-136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,太阳能系统工程费,太阳能工程分包合同,BZAZ-014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,小市政工程费,小市政工程分包合同,BZAZ-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,工艺管道工程费,工艺管道分包合同,BZAZ-030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,弱电工程费,弱电工程分包合同,BZAZ-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,柴发系统工程费,柴油发电机分包合同,BZAZ-029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,消防工程费,消防水分包合同,BZAZ-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,消防工程费,消防电分包合同,BZAZ-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,热力工程费,热力工程分包合同,BZAZ-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,热通道工程费,热通道工程分包合同,BZAZ-025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,燃气工程费,燃气工程分包合同,BZAZ-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,电梯工程费,电梯分包合同,BZAZ-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,电气工程费,变配电分包合同,BZAZ-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,电气工程费,电气分包合同,BZAZ-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,管道工程费,空调水分包合同,BZAZ-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,管道工程费,给排水分包合同,BZAZ-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,精装修工程费,功能性地板供货安装合同,BZAZ-020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,精装修工程费,吊顶类分包合同,BZAZ-018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,精装修工程费,壁纸、地毯等供货安装合同,BZAZ-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,精装修工程费,成品隔断供货安装合同,BZAZ-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,精装修工程费,精装修分包合同,BZAZ-021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,虹吸雨水工程费,虹吸雨水分包合同,BZAZ-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,通风工程费,通风分包合同,BZAZ-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装分包工程费,采暖工程费,采暖工程分包合同,BZAZ-015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装材料采购费,柴发采购费,柴发供货合同,BZAZ-034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,安装材料采购费,热通道采购费,热通道采购合同,BZAZ-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,工程建设其他费,临时场地准备费,临时场地准备合同,BZKB-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,工程建设其他费,市政公用设施费,市政公用设施合同,BZKB-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,其他零星机械费,水平运输机械租赁及服务合同,BZKB-029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,围堰工程费,围堰工程分包合同,BZKB-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,垂直运输机械费,吊车租赁及服务合同,BZKB-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,垂直运输机械费,施工升降机租赁及服务合同,BZKB-025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,垂直运输机械费,起重机械分包合同,BZAZ-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,大临设施费,便道便桥分包合同,BZKB-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,大型机械安拆费,升降机安拆分包合同,BZKB-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,大型机械安拆费,塔吊安拆分包合同,BZKB-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,大型机械安拆费,物料提升机安拆分包合同,BZKB-030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,大型机械安拆费,龙门吊安拆分包合同,BZJCSS-236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,非实体周转架料体系,爬架租赁及服务合同,BZKB-053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,非实体模板背楞体系,木方齿接分包合同,BZKB-041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,非实体模板背楞体系,爬模安拆合同,BZKB-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,非实体模板背楞体系,爬模租赁及服务合同,BZKB-039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,非实体模板背楞体系,膜壳安装合同,BZKB-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,非实体模板背楞体系,钢模板加工分包合同,BZKB-040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工技术措施费,非实体模板背楞体系,铝模板安拆合同,BZKB-146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临建拆除工程分包合同,BZKB-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临建施工分包合同,BZKB-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临建绿化分包合同,BZKB-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临建苗木采购合同,BZKB-085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临时供暖租赁合同,BZKB-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临时场地租赁合同,BZKB-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临时大门围挡供货及安装合同,BZKB-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临时活动厕所供货及安装合同,BZKB-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,临水临电工程分包合同,BZKB-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,其他临建材料供货及安装合同（仅限临时设施费科目下未包含的标准合同）,BZKB-081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,汽车衡采购合同,BZKB-092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,活动板房供货及安装合同,BZKB-097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,视频监控系统供货及安装合同,BZKB-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,临时设施费,门禁、物料验收系统供货及安装合同,BZKB-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,安全施工费,施工电梯门供货及安装合同,BZKB-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,安全施工费,智慧数字展馆供货及安装合同,BZKB-126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,安全施工费,标准化设施供货及安装合同,BZKB-093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,安全施工费,高压防护工程分包合同,BZKB-073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,文明施工费,CI标志标牌供货及安装合同,BZKB-014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,文明施工费,保洁服务合同,BZKB-069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,施工组织措施费,环境保护费,防尘设施（设备）供货及安装合同,BZKB-087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,暂列金额,土建暂列金额,土建暂列金额,BZZL-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,暂列金额,机电暂列金额,机电暂列金额,BZZL-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,EPC设计费,甲指机电EPC设计费,甲指机电EPC设计合同,BZSJ-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,EPC设计费,自施土建EPC设计费,自施土建EPC设计合同,BZSJ-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,EPC设计费,自施机电EPC设计费,自施机电EPC设计合同,BZSJ-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,企业管理费收入,企业管理费收入,BZKB-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,保险费,保险合同,BZQYGL-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,其他费用,专项费用合同,BZQYGL-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,印花税,印花税合同,BZQYGL-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,咨询服务费,咨询服务合同,BZKB-086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,咨询服务费,建设项目招标代理合同,BZKB-077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,咨询服务费,海关服务合同,BZKB-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,咨询服务费,造价咨询分包合同,BZKB-078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,工程测量费,测量分包合同,BZKB-055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,常规检测费,常规检测试验服务合同,BZKB-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,常规检测费,常规检测试验服务合同（财务报销）,BZQYGL-017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,担保费,担保费合同,BZQYGL-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,招投标费,招投标费合同,BZQYGL-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,施工资料费,工程资料服务合同,BZKB-057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,水电费,水电费代缴分包合同,BZQYGL-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,水电费,水电费合同,BZQYGL-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,深化设计费,BIM顾问服务合同,BZKB-076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,业务招待费,BZXCJF-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,产业工人培训服务合同,BZQYGL-015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,党团活动经费,BZXCJF-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,其他间接费用,BZXCJF-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,办公设备租赁合同,BZXCJF-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,办公费,BZXCJF-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,劳动保险和职工福利费,BZXCJF-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,固定资产、无形资产使用费,BZXCJF-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,奖金,BZQYGL-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,安全生产费,BZXCJF-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,宣传视频制作及画册印刷分包合同,BZKB-083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,工会经费,BZXCJF-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,差旅交通费,BZXCJF-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,总部服务费,BZQYGL-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,打印复印服务合同,BZQYGL-018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,物业管理服务合同,BZKB-089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,物业费,BZXCJF-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,班车租赁及服务合同,BZKB-079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,管理人员工资,BZXCJF-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,职工教育经费,BZXCJF-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,现场经费,造价软件租赁合同,BZQYGL-014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,营业税,营业税合同,BZQYGL-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,资金占用费,资金占用合同,BZQYGL-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,企业管理费,附加税,附加税合同,BZQYGL-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,其他支出,总承包管理费,总承包管理分包合同,BZJCSS-237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,其他收入,规费,规费合同,BZQTSR-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,其他收入,零星工程暂估费,零星工程暂估费,BZQTSR-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,勘察设计费,甲指机电设计费,甲指机电设计合同,BZSJ-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,勘察设计费,自施土建勘察费,自施土建勘察合同,BZSJ-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,勘察设计费,自施土建设计费,自施土建设计合同,BZSJ-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,勘察设计费,自施机电设计费,自施机电设计合同,BZSJ-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,主体结构工程费,混凝土采购分包合同（已签合同结转专用）,BZFJ-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,其他实体检测费,沉降观测服务合同,BZKB-056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,其他实体检测费,第三方试验服务合同,BZKB-059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,其他实体检测费,结构类检测分包合同,BZKB-060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,创优工程费,创优工程合同,BZKB-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,地基处理与边坡支护工程费,基坑监测服务合同,BZFJ-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,地基处理与边坡支护工程费,岩土工程深化设计分包合同,BZFJ-129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,外装修工程费,幕墙设计分包合同,BZFJ-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,总平土建工程费,绿化养护服务合同,BZYL-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,总平土建工程费,绿化景观设计合同,BZYL-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,桩基础工程费,桩基检测服务合同,BZKB-062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,精装修工程费,精装修深化设计服务合同,BZFJ-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,金属结构工程费,钢结构工程管理分包合同,BZFJ-041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,金属结构工程费,钢结构技术顾问服务分包合同,BZFJ-040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,金属结构工程费,钢结构提升技术服务分包合同,BZFJ-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,金属结构工程费,钢结构深化设计服务合同,BZFJ-044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,土建分包工程费,金属结构工程费,钢结构类检测分包合同,BZKB-061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,基础设施分包工程费,交通工程费,交安工程分包合同,BZJCSS-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,基础设施分包工程费,创优工程费,创优工程合同,BZKB-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,基础设施分包工程费,园林景观工程费,绿化景观设计合同,BZJCSS-054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,基础设施分包工程费,管网工程费,给水、排水、污水、消防水工程分包合同,BZJCSS-059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,基础设施分包工程费,试验费（公路）,中心试验室分包合同,BZKB-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,基础设施分包工程费,金属结构工程费,钢结构技术顾问服务分包合同,BZJCSS-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,增值税额,土建增值税额,土建增值税,BZZZS-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,增值税额,机电增值税额,机电增值税,BZZZS-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
